,0
data_source,Data/Subsets/clustered_0.95_and_restricted_to_phenos_with_less_thn_10_zeros_05042023.csv
dependent_var,kir_count
impute,True
strategy,mean
standardise,True
normalise,True
n_splits,5
n_repeats,4
random_state_1,42
random_state_2,21
alpha_range,"[0.001 0.002 0.003 0.004 0.005 0.006 0.007 0.008 0.009 0.01  0.011 0.012
 0.013 0.014 0.015 0.016 0.017 0.018 0.019 0.02  0.021 0.022 0.023 0.024
 0.025 0.026 0.027 0.028 0.029 0.03  0.031 0.032 0.033 0.034 0.035 0.036
 0.037 0.038 0.039 0.04 ]"
l1_ratio_range,"[0.001 0.006 0.011 0.016 0.021 0.026 0.031 0.036 0.041 0.046 0.051 0.056
 0.061 0.066 0.071 0.076 0.081 0.086 0.091 0.096 0.101 0.106 0.111 0.116
 0.121 0.126 0.131 0.136 0.141 0.146 0.151 0.156 0.161 0.166 0.171 0.176
 0.181 0.186 0.191 0.196 0.201 0.206 0.211 0.216 0.221 0.226 0.231 0.236
 0.241 0.246 0.251 0.256 0.261 0.266 0.271 0.276 0.281 0.286 0.291 0.296
 0.301 0.306 0.311 0.316 0.321 0.326 0.331 0.336 0.341 0.346 0.351 0.356
 0.361 0.366 0.371 0.376 0.381 0.386 0.391 0.396 0.401 0.406 0.411 0.416
 0.421 0.426 0.431 0.436 0.441 0.446 0.451 0.456 0.461 0.466 0.471 0.476
 0.481 0.486 0.491 0.496 0.501 0.506 0.511 0.516 0.521 0.526 0.531 0.536
 0.541 0.546 0.551 0.556 0.561 0.566 0.571 0.576 0.581 0.586 0.591 0.596
 0.601 0.606 0.611 0.616 0.621 0.626 0.631 0.636 0.641 0.646 0.651 0.656
 0.661 0.666 0.671 0.676 0.681 0.686 0.691 0.696 0.701 0.706 0.711 0.716
 0.721 0.726 0.731 0.736 0.741 0.746 0.751 0.756 0.761 0.766 0.771 0.776
 0.781 0.786 0.791 0.796 0.801 0.806 0.811 0.816 0.821 0.826 0.831 0.836
 0.841 0.846 0.851 0.856 0.861 0.866 0.871 0.876 0.881 0.886 0.891 0.896
 0.901]"
best_l1_ratio,0.876
best_alpha,0.007
best_fit_mae,-0.1590758180328156
avg_neg_mae,-0.16017673635172125
avg_non_zero_coeff_count,19
l1_ratio,0.876
alpha,0.007
candidates,"['P7:23', 'P7 Mono:566', 'P7 Mono:4196', 'P7 Mono:3386', 'P6:76', 'P5 CD8:109', 'P4:5539', 'P4:5530', 'P4:3645', 'P1:9993', 'MFI:8', 'MFI:79', 'MFI:76', 'MFI:658', 'MFI:59', 'MFI:516', 'MFI:472', 'MFI:224', 'MFI:103']"
run_time,38481.742109298706
run_id,8dbc9480b1ba483ebd565d888c161668
