,phenotype_id,marker_definition,parent_population,run_id,feature_name,beta_0,beta_1,p_1,measurement_id,minimum,maximum,mean,std_dev,q1,q3,iqr,outliers_count,valids_count,nans_count,label,correlates
0,MFI:469,CD158a/h FITC,Lymphs/nonT/NK/16+56/CD158a,553d73cc719b48679948520a062c6739,MFI:469,2.63288,-0.000615976,2.60536e-06,MFI:469,362.0,2204.0,1012.93,355.173,757.5,1223.5,466.0,6.0,423.0,1.0,MFI:469,[]
1,P1:22213,28+31+95+127-244-,DPT,553d73cc719b48679948520a062c6739,P1:22213,2.21779,-0.147494,0.000126926,P1:22213,0.0,6.24,1.391,1.218,0.534,1.879,1.345,24.0,424.0,0.0,P1:22213,"['P1:20054' 'P1:20057' 'P1:20102' 'P1:20104' 'P1:20127' 'P1:20130'
 'P1:22183' 'P1:22186' 'P1:22210']"
2,P7:31,32+64-274-,11c+ (nodim)/1c-/16+,553d73cc719b48679948520a062c6739,P7:31,1.92227,0.00742505,0.0289988,P7:31,0.0,51.2,12.019,13.635,1.812,19.75,17.938,5.0,424.0,0.0,P7:31,['P7:103']
3,P1:20365,28+31+95+244-RA-,DPT,553d73cc719b48679948520a062c6739,P1:20365,2.27359,-0.0337463,0.00028784,P1:20365,0.0,25.428,7.581,4.99,3.969,10.422,6.454,6.0,424.0,0.0,P1:20365,"['P1:20254' 'P1:20255' 'P1:20257' 'P1:20258' 'P1:20281' 'P1:20282'
 'P1:20284' 'P1:20285' 'P1:20335' 'P1:20336' 'P1:20338' 'P1:20339'
 'P1:20362' 'P1:20363' 'P1:20366' 'P1:20481' 'P1:20484' 'P1:20508'
 'P1:20511' 'P1:20556' 'P1:20558' 'P1:20581' 'P1:20584']"
4,P5 gd:297,8-R7-,CD3 T/VD1,553d73cc719b48679948520a062c6739,P5 gd:297,1.61013,0.00735837,0.00594593,P5 gd:297,7.93,93.254,54.72,17.039,45.118,67.824,22.706,2.0,424.0,0.0,P5 gd:297,['P5 gd:294']
5,P7 Mono:1287,11c+DR-,Monocytes,553d73cc719b48679948520a062c6739,P7 Mono:1287,0.812136,0.0146073,0.00472986,P7 Mono:1287,43.965,96.739,82.367,9.058,78.375,88.443,10.069,21.0,424.0,0.0,P7 Mono:1287,['P7 Mono:1044']
6,P4:5290,CD2+158b-,56+16-,553d73cc719b48679948520a062c6739,P4:5290,1.6246,0.00599226,0.0172827,P4:5290,4.017,93.16,65.619,18.361,57.817,78.867,21.05,26.0,424.0,0.0,P4:5290,['P4:4513' 'P4:4536' 'P4:4582' 'P4:4609' 'P4:5182' 'P4:5209' 'P4:5263']
7,P1:10321,27+95+127-,CD8,553d73cc719b48679948520a062c6739,P1:10321,2.2939,-0.031386,0.000603889,P1:10321,0.828,31.812,8.845,5.108,5.179,11.294,6.115,14.0,424.0,0.0,P1:10321,['P1:10240']
8,P5 gd:524,8-,CD3 T/VD1,553d73cc719b48679948520a062c6739,P5 gd:524,1.53968,0.00665216,0.00684586,P5 gd:524,11.065,96.787,71.555,18.51,62.047,85.317,23.27,13.0,424.0,0.0,P5 gd:524,[]
9,P5 gd:1927,28-R5+,Vg9+/Vd2Low,553d73cc719b48679948520a062c6739,P5 gd:1927,1.81071,0.00803734,0.00758032,P5 gd:1927,0.0,82.416,25.346,15.932,13.38,36.096,22.716,1.0,424.0,0.0,P5 gd:1927,['P5 gd:1689' 'P5 gd:1692' 'P5 gd:1924']
10,P1:12687,27+95+RA+,CD8,553d73cc719b48679948520a062c6739,P1:12687,2.37364,-0.023268,0.00027981,P1:12687,2.428,47.67,15.481,7.121,10.217,19.763,9.546,7.0,424.0,0.0,P1:12687,['P1:12660']
11,MFI:8,CD32 APC,Lin-DR+/14-/11c+ (nodim)/1c-/16-/CD32,553d73cc719b48679948520a062c6739,MFI:8,1.89685,4.10625e-05,0.0647098,MFI:8,1141.0,12166.0,2843.19,2134.72,1580.0,3344.0,1764.0,43.0,424.0,0.0,MFI:8,[]
12,P5 gd:1727,27+RA+R5+R7-,Vg9+/Vd2Low,553d73cc719b48679948520a062c6739,P5 gd:1727,2.12314,-0.253339,0.00355291,P5 gd:1727,0.0,2.94,0.435,0.544,0.041,0.588,0.547,31.0,424.0,0.0,P5 gd:1727,['P5 gd:1726' 'P5 gd:1733']
13,P1:6061,27+28+127-RA+,CD4,553d73cc719b48679948520a062c6739,P1:6061,2.19531,-0.171744,0.0108176,P1:6061,0.169,4.352,1.052,0.703,0.607,1.243,0.635,31.0,424.0,0.0,P1:6061,"['P1:5349' 'P1:5350' 'P1:5352' 'P1:5353' 'P1:5377' 'P1:5379' 'P1:5380'
 'P1:6031' 'P1:6033' 'P1:6034' 'P1:6058' 'P1:6060']"
14,MFI:457,CD2 Cy55 PE,Lymphs/nonT/NK/16+56/2,553d73cc719b48679948520a062c6739,MFI:457,1.71052,0.000102358,0.0105628,MFI:457,1105.0,7557.0,2970.15,1165.84,2145.0,3670.25,1525.25,8.0,424.0,0.0,MFI:457,[]
15,P2:7231,25+38-39+DR+PD1+RO+,CD4,553d73cc719b48679948520a062c6739,P2:7231,1.86495,8.69363,0.0102347,P2:7231,0.0,0.132,0.017,0.015,0.008,0.022,0.015,30.0,424.0,0.0,P2:7231,['P2:5048' 'P2:5075' 'P2:5129' 'P2:5156' 'P2:7158' 'P2:7204']
